codigo_ine,municipio,provincia
3043,Biar,Alicante/Alacant
3044,Bigastro,Alicante/Alacant
3045,Bolulla,Alicante/Alacant
3046,Busot,Alicante/Alacant
3049,Callosa de Segura,Alicante/Alacant
3048,Callosa d'en Sarrià,Alicante/Alacant
3047,Calp,Alicante/Alacant
3051,"Camp de Mirra, el/Campo de Mirra",Alicante/Alacant
3050,"Campello, el",Alicante/Alacant
3052,Cañada,Alicante/Alacant
3053,Castalla,Alicante/Alacant
3054,Castell de Castells,Alicante/Alacant
3075,"Castell de Guadalest, el",Alicante/Alacant
3055,Catral,Alicante/Alacant
3056,Cocentaina,Alicante/Alacant
3057,Confrides,Alicante/Alacant
3058,Cox,Alicante/Alacant
3059,Crevillent,Alicante/Alacant
3061,Daya Nueva,Alicante/Alacant
3062,Daya Vieja,Alicante/Alacant
3063,Dénia,Alicante/Alacant
3064,Dolores,Alicante/Alacant
3066,Elda,Alicante/Alacant
3065,Elx/Elche,Alicante/Alacant
3067,Fageca,Alicante/Alacant
3068,Famorca,Alicante/Alacant
3069,Finestrat,Alicante/Alacant
3077,"Fondó de les Neus, el/Hondón de las Nieves",Alicante/Alacant
3070,Formentera del Segura,Alicante/Alacant
3072,Gaianes,Alicante/Alacant
3071,Gata de Gorgos,Alicante/Alacant
3073,Gorga,Alicante/Alacant
3074,Granja de Rocamora,Alicante/Alacant
3076,Guardamar del Segura,Alicante/Alacant
3078,Hondón de los Frailes,Alicante/Alacant
3079,Ibi,Alicante/Alacant
3080,Jacarilla,Alicante/Alacant
3085,Llíber,Alicante/Alacant
3086,Millena,Alicante/Alacant
3088,Monforte del Cid,Alicante/Alacant
3089,Monòver/Monóvar,Alicante/Alacant
3903,"Montesinos, Los",Alicante/Alacant
3091,Murla,Alicante/Alacant
3092,Muro de Alcoy,Alicante/Alacant
3090,Mutxamel,Alicante/Alacant
3093,Novelda,Alicante/Alacant
3094,"Nucia, la",Alicante/Alacant
3095,Ondara,Alicante/Alacant
3096,Onil,Alicante/Alacant
3097,Orba,Alicante/Alacant
3099,Orihuela,Alicante/Alacant
3084,"Orxa, l'/Lorcha",Alicante/Alacant
3098,Orxeta,Alicante/Alacant
3100,Parcent,Alicante/Alacant
3101,Pedreguer,Alicante/Alacant
3102,Pego,Alicante/Alacant
3103,Penàguila,Alicante/Alacant
3104,Petrer,Alicante/Alacant
3902,Pilar de la Horadada,Alicante/Alacant
3105,"Pinós, el/Pinoso",Alicante/Alacant
3106,Planes,Alicante/Alacant
3042,"Poble Nou de Benitatxell, el/Benitachell",Alicante/Alacant
3901,"Poblets, els",Alicante/Alacant
3107,Polop,Alicante/Alacant
3060,Quatretondeta,Alicante/Alacant
3109,Rafal,Alicante/Alacant
3110,"Ràfol d'Almúnia, el",Alicante/Alacant
3111,Redován,Alicante/Alacant
3112,Relleu,Alicante/Alacant
3113,Rojales,Alicante/Alacant
3114,"Romana, la",Alicante/Alacant
3115,Sagra,Alicante/Alacant
3116,Salinas,Alicante/Alacant
3118,San Fulgencio,Alicante/Alacant
3904,San Isidro,Alicante/Alacant
3120,San Miguel de Salinas,Alicante/Alacant
3117,Sanet y Negrals,Alicante/Alacant
3119,Sant Joan d'Alacant,Alicante/Alacant
3122,Sant Vicent del Raspeig/San Vicente del Raspeig,Alicante/Alacant
3121,Santa Pola,Alicante/Alacant
3123,Sax,Alicante/Alacant
3124,Sella,Alicante/Alacant
3125,Senija,Alicante/Alacant
3127,Tàrbena,Alicante/Alacant
3128,Teulada,Alicante/Alacant
3129,Tibi,Alicante/Alacant
3130,Tollos,Alicante/Alacant
3131,Tormos,Alicante/Alacant
3132,"Torre de les Maçanes, la/Torremanzanas",Alicante/Alacant
3133,Torrevieja,Alicante/Alacant
3134,"Vall d'Alcalà, la",Alicante/Alacant
3136,"Vall de Gallinera, la",Alicante/Alacant
3137,"Vall de Laguar, la",Alicante/Alacant
3135,"Vall d'Ebo, la",Alicante/Alacant
3138,"Verger, el",Alicante/Alacant
3139,"Vila Joiosa, la/Villajoyosa",Alicante/Alacant
3140,Villena,Alicante/Alacant
3082,Xàbia/Jávea,Alicante/Alacant
3081,Xaló,Alicante/Alacant
3083,Xixona/Jijona,Alicante/Alacant
4001,Abla,Almería
4002,Abrucena,Almería
4003,Adra,Almería
4004,Albanchez,Almería
4005,Alboloduy,Almería
4006,Albox,Almería
4007,Alcolea,Almería
4008,Alcóntar,Almería
4009,Alcudia de Monteagud,Almería
4010,Alhabia,Almería
4011,Alhama de Almería,Almería
4012,Alicún,Almería
4013,Almería,Almería
4014,Almócita,Almería
4015,Alsodux,Almería
4016,Antas,Almería
4017,Arboleas,Almería
4018,Armuña de Almanzora,Almería
4019,Bacares,Almería
4904,Balanegra,Almería
4020,Bayárcal,Almería
4021,Bayarque,Almería
4022,Bédar,Almería
4023,Beires,Almería
4024,Benahadux,Almería
4026,Benitagla,Almería
4027,Benizalón,Almería
4028,Bentarique,Almería
4029,Berja,Almería
4030,Canjáyar,Almería
4031,Cantoria,Almería
4032,Carboneras,Almería
4033,Castro de Filabres,Almería
4036,Chercos,Almería
4037,Chirivel,Almería
4034,Cóbdar,Almería
4035,Cuevas del Almanzora,Almería
4038,Dalías,Almería
4902,"Ejido, El",Almería
4041,Enix,Almería
4043,Felix,Almería
4044,Fines,Almería
4045,Fiñana,Almería
4046,Fondón,Almería
4047,Gádor,Almería
4048,"Gallardos, Los",Almería
4049,Garrucha,Almería
4050,Gérgal,Almería
4051,Huécija,Almería
4052,Huércal de Almería,Almería
4053,Huércal-Overa,Almería
4054,Íllar,Almería
4055,Instinción,Almería
4056,Laroya,Almería
4057,Laujar de Andarax,Almería
4058,Líjar,Almería
4059,Lubrín,Almería
4060,Lucainena de las Torres,Almería
4061,Lúcar,Almería
4062,Macael,Almería
4063,María,Almería
4064,Mojácar,Almería
4903,"Mojonera, La",Almería
4065,Nacimiento,Almería
4066,Níjar,Almería
4067,Ohanes,Almería
4068,Olula de Castro,Almería
4069,Olula del Río,Almería
4070,Oria,Almería
4071,Padules,Almería
4072,Partaloa,Almería
4073,Paterna del Río,Almería
4074,Pechina,Almería
4075,Pulpí,Almería
4076,Purchena,Almería
4077,Rágol,Almería
4078,Rioja,Almería
4079,Roquetas de Mar,Almería
4080,Santa Cruz de Marchena,Almería
4081,Santa Fe de Mondújar,Almería
4082,Senés,Almería
4083,Serón,Almería
4084,Sierro,Almería
4085,Somontín,Almería
4086,Sorbas,Almería
4087,Suflí,Almería
4088,Tabernas,Almería
4089,Taberno,Almería
4090,Tahal,Almería
4091,Terque,Almería
4092,Tíjola,Almería
4901,"Tres Villas, Las",Almería
4093,Turre,Almería
4094,Turrillas,Almería
4095,Uleila del Campo,Almería
4096,Urrácal,Almería
4097,Velefique,Almería
4098,Vélez-Blanco,Almería
4099,Vélez-Rubio,Almería
4100,Vera,Almería
4101,Viator,Almería
4102,Vícar,Almería
4103,Zurgena,Almería
5001,Adanero,Ávila
5002,"Adrada, La",Ávila
5005,Albornos,Ávila
5007,Aldeanueva de Santa Cruz,Ávila
5008,Aldeaseca,Ávila
5010,"Aldehuela, La",Ávila
5012,Amavida,Ávila
5013,"Arenal, El",Ávila
5014,Arenas de San Pedro,Ávila
5015,Arevalillo,Ávila
5016,Arévalo,Ávila
5017,Aveinte,Ávila
5018,Avellaneda,Ávila
5019,Ávila,Ávila
5021,"Barco de Ávila, El",Ávila
5022,"Barraco, El",Ávila
5023,Barromán,Ávila
5024,Becedas,Ávila
5025,Becedillas,Ávila
5026,Bercial de Zapardiel,Ávila
5027,"Berlanas, Las",Ávila
5029,Bernuy-Zapardiel,Ávila
5030,Berrocalejo de Aragona,Ávila
5033,Blascomillán,Ávila
5034,Blasconuño de Matacabras,Ávila
5035,Blascosancho,Ávila
5036,"Bohodón, El",Ávila
5037,Bohoyo,Ávila
5038,Bonilla de la Sierra,Ávila
5039,Brabos,Ávila
5040,Bularros,Ávila
5041,Burgohondo,Ávila
5042,Cabezas de Alambre,Ávila
5043,Cabezas del Pozo,Ávila
5044,Cabezas del Villar,Ávila
5045,Cabizuela,Ávila
5046,Canales,Ávila
5047,Candeleda,Ávila
5048,Cantiveros,Ávila
5049,Cardeñosa,Ávila
5051,"Carrera, La",Ávila
5052,Casas del Puerto,Ávila
5053,Casasola,Ávila
5054,Casavieja,Ávila
5055,Casillas,Ávila
5056,Castellanos de Zapardiel,Ávila
5057,Cebreros,Ávila
5058,Cepeda la Mora,Ávila
5067,Chamartín,Ávila
5059,Cillán,Ávila
5060,Cisla,Ávila
5061,"Colilla, La",Ávila
5062,Collado de Contreras,Ávila
5063,Collado del Mirón,Ávila
5064,Constanzana,Ávila
5065,Crespos,Ávila
5066,Cuevas del Valle,Ávila
5903,Diego del Carpio,Ávila
5069,Donjimeno,Ávila
5070,Donvidas,Ávila
5072,Espinosa de los Caballeros,Ávila
5073,Flores de Ávila,Ávila
5074,Fontiveros,Ávila
5075,Fresnedilla,Ávila
5076,"Fresno, El",Ávila
5077,Fuente el Saúz,Ávila
5078,Fuentes de Año,Ávila
5079,Gallegos de Altamiros,Ávila
5080,Gallegos de Sobrinos,Ávila
5081,Garganta del Villar,Ávila
5082,Gavilanes,Ávila
5083,Gemuño,Ávila
5085,Gil García,Ávila
5084,Gilbuena,Ávila
5086,Gimialcón,Ávila
5087,Gotarrendura,Ávila
5088,Grandes y San Martín,Ávila
5089,Guisando,Ávila
5090,Gutierre-Muñoz,Ávila
5092,Hernansancho,Ávila
5093,Herradón de Pinares,Ávila
5094,Herreros de Suso,Ávila
5095,Higuera de las Dueñas,Ávila
5096,"Hija de Dios, La",Ávila
5097,"Horcajada, La",Ávila
5099,Horcajo de las Torres,Ávila
5100,"Hornillo, El",Ávila
5102,"Hoyo de Pinares, El",Ávila
5101,Hoyocasero,Ávila
5103,Hoyorredondo,Ávila
5106,Hoyos de Miguel Muñoz,Ávila
5104,Hoyos del Collado,Ávila
5105,Hoyos del Espino,Ávila
5107,Hurtumpascual,Ávila
5108,Junciana,Ávila
5109,Langa,Ávila
5110,Lanzahíta,Ávila
5113,"Llanos de Tormes, Los",Ávila
5112,"Losar del Barco, El",Ávila
5114,Madrigal de las Altas Torres,Ávila
5115,Maello,Ávila
5116,Malpartida de Corneja,Ávila
5117,Mamblas,Ávila
5118,Mancera de Arriba,Ávila
5119,Manjabálago y Ortigosa de Rioalmar,Ávila
5120,Marlín,Ávila
5121,Martiherrero,Ávila
5122,Martínez,Ávila
5123,Mediana de Voltoya,Ávila
5124,Medinilla,Ávila
5125,Mengamuñoz,Ávila
5126,Mesegar de Corneja,Ávila
5127,Mijares,Ávila
5128,Mingorría,Ávila
5129,"Mirón, El",Ávila
5130,Mironcillo,Ávila
5131,Mirueña de los Infanzones,Ávila
5132,Mombeltrán,Ávila
5133,Monsalupe,Ávila
5134,Moraleja de Matacabras,Ávila
5135,Muñana,Ávila
5136,Muñico,Ávila
5138,Muñogalindo,Ávila
5139,Muñogrande,Ávila
5140,Muñomer del Peco,Ávila
5141,Muñopepe,Ávila
5142,Muñosancho,Ávila
5143,Muñotello,Ávila
5144,Narrillos del Álamo,Ávila
5145,Narrillos del Rebollar,Ávila
5149,Narros de Saldueña,Ávila
5147,Narros del Castillo,Ávila
5148,Narros del Puerto,Ávila
5152,Nava de Arévalo,Ávila
5153,Nava del Barco,Ávila
5151,Navacepedilla de Corneja,Ávila
5154,Navadijos,Ávila
5155,Navaescurial,Ávila
5156,Navahondilla,Ávila
5157,Navalacruz,Ávila
5158,Navalmoral,Ávila
5159,Navalonguilla,Ávila
5160,Navalosa,Ávila
5161,Navalperal de Pinares,Ávila
5162,Navalperal de Tormes,Ávila
5163,Navaluenga,Ávila
5164,Navaquesera,Ávila
5165,Navarredonda de Gredos,Ávila
5166,Navarredondilla,Ávila
5167,Navarrevisca,Ávila
5168,"Navas del Marqués, Las",Ávila
5169,Navatalgordo,Ávila
5170,Navatejares,Ávila
5171,Neila de San Miguel,Ávila
5172,Niharra,Ávila
5173,Ojos-Albos,Ávila
5174,Orbita,Ávila
5175,"Oso, El",Ávila
5176,Padiernos,Ávila
5177,Pajares de Adaja,Ávila
5178,Palacios de Goda,Ávila
5179,Papatrigo,Ávila
5180,"Parral, El",Ávila
5181,Pascualcobo,Ávila
5182,Pedro Bernardo,Ávila
5183,Pedro-Rodríguez,Ávila
5184,Peguerinos,Ávila
5185,Peñalba de Ávila,Ávila
5186,Piedrahíta,Ávila
5187,Piedralaves,Ávila
5188,Poveda,Ávila
5189,Poyales del Hoyo,Ávila
5190,Pozanco,Ávila
5191,Pradosegar,Ávila
5192,Puerto Castilla,Ávila
5193,Rasueros,Ávila
5194,Riocabado,Ávila
5195,Riofrío,Ávila
5196,Rivilla de Barajas,Ávila
5197,Salobral,Ávila
5198,Salvadiós,Ávila
5199,San Bartolomé de Béjar,Ávila
5200,San Bartolomé de Corneja,Ávila
5201,San Bartolomé de Pinares,Ávila
5206,San Esteban de los Patos,Ávila
5208,San Esteban de Zapardiel,Ávila
5207,San Esteban del Valle,Ávila
5209,San García de Ingelmos,Ávila
5901,San Juan de Gredos,Ávila
5210,San Juan de la Encinilla,Ávila
5211,San Juan de la Nava,Ávila
5212,San Juan del Molinillo,Ávila
5213,San Juan del Olmo,Ávila
5214,San Lorenzo de Tormes,Ávila
5215,San Martín de la Vega del Alberche,Ávila
5216,San Martín del Pimpollar,Ávila
5217,San Miguel de Corneja,Ávila
5218,San Miguel de Serrezuela,Ávila
5219,San Pascual,Ávila
5220,San Pedro del Arroyo,Ávila
5231,San Vicente de Arévalo,Ávila
5204,Sanchidrián,Ávila
5205,Sanchorreja,Ávila
5222,Santa Cruz de Pinares,Ávila
5221,Santa Cruz del Valle,Ávila
5226,Santa María de los Caballeros,Ávila
5224,Santa María del Arroyo,Ávila
5225,Santa María del Berrocal,Ávila
5902,Santa María del Cubillo,Ávila
5227,Santa María del Tiétar,Ávila
5228,Santiago del Collado,Ávila
5904,Santiago del Tormes,Ávila
5229,Santo Domingo de las Posadas,Ávila
5230,Santo Tomé de Zabarcos,Ávila
5232,"Serrada, La",Ávila
5233,Serranillos,Ávila
5234,Sigeres,Ávila
5235,Sinlabajos,Ávila
5236,Solana de Ávila,Ávila
5237,Solana de Rioalmar,Ávila
5238,Solosancho,Ávila
5239,Sotalbo,Ávila
5240,Sotillo de la Adrada,Ávila
5241,"Tiemblo, El",Ávila
5242,Tiñosillos,Ávila
5243,Tolbaños,Ávila
5244,Tormellas,Ávila
5245,Tornadizos de Ávila,Ávila
5247,"Torre, La",Ávila
5246,Tórtoles,Ávila
5249,Umbrías,Ávila
5251,Vadillo de la Sierra,Ávila
5252,Valdecasa,Ávila
5253,Vega de Santa María,Ávila
5254,Velayos,Ávila
5256,Villaflor,Ávila
5257,Villafranca de la Sierra,Ávila
5905,Villanueva de Ávila,Ávila
5258,Villanueva de Gómez,Ávila
5259,Villanueva del Aceral,Ávila
5260,Villanueva del Campillo,Ávila
5261,Villar de Corneja,Ávila
5262,Villarejo del Valle,Ávila
5263,Villatoro,Ávila
5264,Viñegra de Moraña,Ávila
5265,Vita,Ávila
5266,Zapardiel de la Cañada,Ávila
5267,Zapardiel de la Ribera,Ávila
6001,Acedera,Badajoz
6002,Aceuchal,Badajoz
6003,Ahillones,Badajoz
6004,Alange,Badajoz
6005,"Albuera, La",Badajoz
6006,Alburquerque,Badajoz
6007,Alconchel,Badajoz
6008,Alconera,Badajoz
6009,Aljucén,Badajoz
6010,Almendral,Badajoz
6011,Almendralejo,Badajoz
6012,Arroyo de San Serván,Badajoz
6013,Atalaya,Badajoz
6014,Azuaga,Badajoz
6015,Badajoz,Badajoz
6016,Barcarrota,Badajoz
6017,Baterno,Badajoz
6018,Benquerencia de la Serena,Badajoz
6019,Berlanga,Badajoz
6020,Bienvenida,Badajoz
6021,Bodonal de la Sierra,Badajoz
6022,Burguillos del Cerro,Badajoz
6023,Cabeza del Buey,Badajoz
6024,Cabeza la Vaca,Badajoz
6025,Calamonte,Badajoz
6026,Calera de León,Badajoz
6027,Calzadilla de los Barros,Badajoz
6028,Campanario,Badajoz
6029,Campillo de Llerena,Badajoz
6030,Capilla,Badajoz
6031,Carmonita,Badajoz
6032,"Carrascalejo, El",Badajoz
6033,Casas de Don Pedro,Badajoz
6034,Casas de Reina,Badajoz
6035,Castilblanco,Badajoz
6036,Castuera,Badajoz
6042,Cheles,Badajoz
6037,"Codosera, La",Badajoz
6038,Cordobilla de Lácara,Badajoz
6039,"Coronada, La",Badajoz
6040,Corte de Peleas,Badajoz
6041,Cristina,Badajoz
6043,Don Álvaro,Badajoz
6044,Don Benito,Badajoz
6045,Entrín Bajo,Badajoz
6046,Esparragalejo,Badajoz
6047,Esparragosa de la Serena,Badajoz
6048,Esparragosa de Lares,Badajoz
6049,Feria,Badajoz
6050,Fregenal de la Sierra,Badajoz
6051,Fuenlabrada de los Montes,Badajoz
6052,Fuente de Cantos,Badajoz
6053,Fuente del Arco,Badajoz
6054,Fuente del Maestre,Badajoz
6055,Fuentes de León,Badajoz
6056,Garbayuela,Badajoz
6057,Garlitos,Badajoz
6058,"Garrovilla, La",Badajoz
6059,Granja de Torrehermosa,Badajoz
6903,Guadiana,Badajoz
6060,Guareña,Badajoz
6061,"Haba, La",Badajoz
6062,Helechosa de los Montes,Badajoz
6063,Herrera del Duque,Badajoz
6064,Higuera de la Serena,Badajoz
6065,Higuera de Llerena,Badajoz
6066,Higuera de Vargas,Badajoz
6067,Higuera la Real,Badajoz
6068,Hinojosa del Valle,Badajoz
6069,Hornachos,Badajoz
6070,Jerez de los Caballeros,Badajoz
6071,"Lapa, La",Badajoz
6073,Llera,Badajoz
6074,Llerena,Badajoz
6072,Lobón,Badajoz
6075,Magacela,Badajoz
6076,Maguilla,Badajoz
6077,Malcocinado,Badajoz
6078,Malpartida de la Serena,Badajoz
6079,Manchita,Badajoz
6080,Medellín,Badajoz
6081,Medina de las Torres,Badajoz
6082,Mengabril,Badajoz
6083,Mérida,Badajoz
6084,Mirandilla,Badajoz
6085,Monesterio,Badajoz
6086,Montemolín,Badajoz
6087,Monterrubio de la Serena,Badajoz
6088,Montijo,Badajoz
6089,"Morera, La",Badajoz
6090,"Nava de Santiago, La",Badajoz
6091,Navalvillar de Pela,Badajoz
6092,Nogales,Badajoz
6093,Oliva de la Frontera,Badajoz
6094,Oliva de Mérida,Badajoz
6095,Olivenza,Badajoz
6096,Orellana de la Sierra,Badajoz
6097,Orellana la Vieja,Badajoz
6098,Palomas,Badajoz
6099,"Parra, La",Badajoz
6100,Peñalsordo,Badajoz
6101,Peraleda del Zaucejo,Badajoz
6102,Puebla de Alcocer,Badajoz
6103,Puebla de la Calzada,Badajoz
6104,Puebla de la Reina,Badajoz
6107,Puebla de Obando,Badajoz
6108,Puebla de Sancho Pérez,Badajoz
6105,Puebla del Maestre,Badajoz
6106,Puebla del Prior,Badajoz
6902,Pueblonuevo del Guadiana,Badajoz
6109,Quintana de la Serena,Badajoz
6110,Reina,Badajoz
6111,Rena,Badajoz
6112,Retamal de Llerena,Badajoz
6113,Ribera del Fresno,Badajoz
6114,Risco,Badajoz
6115,"Roca de la Sierra, La",Badajoz
6116,Salvaleón,Badajoz
6117,Salvatierra de los Barros,Badajoz
6119,San Pedro de Mérida,Badajoz
6123,San Vicente de Alcántara,Badajoz
6118,Sancti-Spíritus,Badajoz
6120,Santa Amalia,Badajoz
6121,Santa Marta,Badajoz
6122,"Santos de Maimona, Los",Badajoz
6124,Segura de León,Badajoz
6125,Siruela,Badajoz
6126,Solana de los Barros,Badajoz
6127,Talarrubias,Badajoz
6128,Talavera la Real,Badajoz
6129,Táliga,Badajoz
6130,Tamurejo,Badajoz
6131,Torre de Miguel Sesmero,Badajoz
6132,Torremayor,Badajoz
6133,Torremejía,Badajoz
6134,Trasierra,Badajoz
6135,Trujillanos,Badajoz
6136,Usagre,Badajoz
6137,Valdecaballeros,Badajoz
6901,Valdelacalzada,Badajoz
6138,Valdetorres,Badajoz
6139,Valencia de las Torres,Badajoz
6140,Valencia del Mombuey,Badajoz
6141,Valencia del Ventoso,Badajoz
6146,Valle de la Serena,Badajoz
6147,Valle de Matamoros,Badajoz
6148,Valle de Santa Ana,Badajoz
6142,Valverde de Burguillos,Badajoz
6143,Valverde de Leganés,Badajoz
6144,Valverde de Llerena,Badajoz
6145,Valverde de Mérida,Badajoz
6149,Villafranca de los Barros,Badajoz
6150,Villagarcía de la Torre,Badajoz
6151,Villagonzalo,Badajoz
6152,Villalba de los Barros,Badajoz
6153,Villanueva de la Serena,Badajoz
6154,Villanueva del Fresno,Badajoz
6156,Villar de Rena,Badajoz
6155,Villar del Rey,Badajoz
6157,Villarta de los Montes,Badajoz
6158,Zafra,Badajoz
6159,Zahínos,Badajoz
6160,Zalamea de la Serena,Badajoz
6162,"Zarza, La",Badajoz
6161,Zarza-Capilla,Badajoz
7002,Alaior,Illes Balears
7001,Alaró,Illes Balears
7003,Alcúdia,Illes Balears
7004,Algaida,Illes Balears
7005,Andratx,Illes Balears
7901,Ariany,Illes Balears
7006,Artà,Illes Balears
7007,Banyalbufar,Illes Balears
7008,Binissalem,Illes Balears
7009,Búger,Illes Balears
7010,Bunyola,Illes Balears
7011,Calvià,Illes Balears
7012,Campanet,Illes Balears
7013,Campos,Illes Balears
7014,Capdepera,Illes Balears
7064,"Castell, Es",Illes Balears
7015,Ciutadella de Menorca,Illes Balears
7016,Consell,Illes Balears
